"ID","GENERO","RENTA","EDAD","NIV_EDUC","E_CIVIL","COD_OFI","COD_COM","CIUDAD","D_Marzo","D_Abril","D_Mayo","D_Junio","D_Julio","D_Agosto","D_Septiembre","M_MOROSO","MONTO","SEGURO","FUGA"
24,"M",537818,29,"TEC","CAS",27,226,"CONCEPCION",0,104472,0,0,2,0,0,1,2200000,"NO","FUGA"
25,"F",248276,49,"TEC","CAS",77,227,"TALCAHUANO",0,733019,0,0,20,0,376,1,1100000,"NO","NO FUGA"
26,"F",226727,29,"MED","CAS",13,16,"ANTOFAGASTA",387756,167023,0,0,377,0,0,1,1000000,"NO","NO FUGA"
27,"M",581593,46,"TEC","VIU",55,108,"SANTIAGO",0,504107,0,189115,0,0,174,0,8000000,"NO","NO FUGA"
28,"M",171798,52,"UNV","CAS",31,119,"SANTIAGO",0,97745,0,0,0,0,4921,1,2200000,"SI","FUGA"
29,"M",1714426,43,"UNV","CAS",16,80,"SANTIAGO",0,212011,0,0,0,0,21,1,4200000,"NO","FUGA"
30,"F",14423,39,"TEC","SOL",60,253,"TEMUCO",0,435093,0,240380,41,2673,383,3,8000000,"SI","NO FUGA"
31,NA,1126011,37,"TEC","CAS",52,86,"SANTIAGO",0,533076,0,0,0,17581,0,0,8000000,"NO","NO FUGA"
32,"M",26796,41,"UNV","SEP",138,1,"ARICA",284901,587892,0,218068,500,1367,502,2,3500000,"NO","FUGA"
33,"F",249559,27,"MED","CAS",116,131,"RANCAGUA",228929,0,0,0,6,0,0,1,3700000,"NO","NO FUGA"
34,"M",2508956,44,"MED","CAS",55,90,"SANTIAGO",623615,1681538,0,0,3201,0,57256,3,4600000,"SI","FUGA"
35,"M",147751,46,"MED","CAS",31,119,"SANTIAGO",0,175864,0,0,47,0,0,1,1700000,"SI","FUGA"
36,"M",234552,52,"UNV","CAS",31,119,"SANTIAGO",0,0,0,0,313,0,0,1,2200000,"NO","FUGA"
37,"F",189901,46,"MED","CAS",92,92,"SANTIAGO",0,5622,0,160007,106,0,23,1,2000000,"NO","FUGA"
38,"M",1233336,44,"UNV","CAS",55,90,"SANTIAGO",193646,15527,0,0,836,0,0,2,3000000,"NO","FUGA"
39,"M",22984,46,"UNV","CAS",102,87,"SANTIAGO",0,1582,0,222249,28,3261,190,1,5400000,"SI","FUGA"
40,"F",200685,51,"MED","CAS",124,253,"TEMUCO",0,1803351,0,79,2281,6308,0,2,800000,"NO","NO FUGA"
41,"F",292141,27,"UNV","CAS",125,89,"SANTIAGO",0,0,0,36122,0,0,2,0,4000000,"NO","NO FUGA"
42,"M",582881,28,"TEC","SOL",37,98,"SANTIAGO",0,178223,0,0,107,0,0,2,1400000,"NO","FUGA"
43,"M",41095,40,"UNV","CAS",55,90,"SANTIAGO",0,9063,865877,0,0,20,248,1,1900000,"NO","FUGA"
44,"F",247458,49,"UNV","CAS",138,1,"ARICA",364846,90577,0,78091,894,0,82,1,900000,"NO","FUGA"
45,"M",123985,49,"UNV","CAS",138,1,"ARICA",0,298173,0,99446,0,0,10,1,3400000,"SI","FUGA"
46,"M",4973,54,"MED","SOL",27,226,"CONCEPCION",0,0,0,144490,0,2298,207,1,2000000,"NO","FUGA"
47,"F",2170313,38,"UNV","CAS",21,502,"CHUQUICAMATA",0,431838,0,0,35,0,0,1,8000000,"NO","NO FUGA"
48,"M",628289,47,"UNV","CAS",127,104,"SANTIAGO",0,344058,0,0,105,0,0,2,3400000,"NO","FUGA"
49,"M",34232,45,"UNV","CAS",122,115,"SANTIAGO",0,118236,0,296748,697,35,144,2,1300000,"SI","FUGA"
50,"M",625999,55,"TEC","CAS",16,90,"SANTIAGO",0,0,0,2077,348,0,415,1,5700000,"NO","FUGA"
51,"M",27754,46,"UNV","CAS",55,90,"SANTIAGO",645645,859109,0,0,360,0,0,1,4100000,"NO","FUGA"
52,"M",213994,40,"TEC","CAS",30,98,"SANTIAGO",458385,1693416,0,371623,1791,0,671,3,1900000,"NO","NO FUGA"
53,"F",53632,53,"MED","SOL",80,110,"SANTIAGO",0,0,0,0,0,0,49,0,8000000,"SI","NO FUGA"
54,"F",6878013,26,"TEC","VIU",22,1,"ARICA",0,189575,0,41218,1,0,0,1,1600000,"NO","NO FUGA"
55,"M",12215,55,"MED","CAS",55,90,"SANTIAGO",142855,209317,0,21778,1002,0,0,1,3300000,"NO","FUGA"
56,"M",818993,44,"UNV","CAS",138,1,"ARICA",462287,22546,0,805760,742,0,480,1,1400000,"SI","FUGA"
57,"M",456419,29,"TEC","SOL",60,287,"PUERTO OCTAY",0,177279,0,79727,0,0,158,0,1700000,"NO","NO FUGA"
58,"M",2186611,49,"MED","SEP",123,90,"SANTIAGO",0,77397,0,5089688,2707,12610,2000,2,8000000,"NO","FUGA"
59,"F",19520,52,"MED","SOL",12,13,"CALAMA",0,8939,0,0,174,0,278,1,1800000,"SI","NO FUGA"
60,"M",40575,46,"UNV","CAS",90,100,"SANTIAGO",0,1141924,0,724982,3,0,0,2,4600000,"NO","FUGA"
61,"M",4539866,44,"UNV","CAS",53,93,"SANTIAGO",0,229320,0,0,0,0,7,1,4200000,"NO","FUGA"
62,"M",2823360,43,"UNV","CAS",24,88,"SANTIAGO",0,809182,0,45608,131,31748,303,1,5000000,"NO","FUGA"
63,"M",299679,50,"UNV","CAS",85,88,"SANTIAGO",0,38550,0,305418,42,0,0,1,7200000,"NO","FUGA"
64,"F",136906,35,"TEC","CAS",92,88,"SANTIAGO",0,246905,0,93940,30,3213,207,1,2400000,"NO","NO FUGA"
65,"M",352529,26,"UNV","SOL",25,89,"SANTIAGO",0,99092,0,140192,384,0,273,1,600000,"NO","NO FUGA"
66,"M",1001768,40,"UNV","SEP",138,1,"ARICA",1416442,752132,0,591974,4085,0,835,2,6900000,"NO","FUGA"
67,"M",846188,40,"UNV","SEP",16,89,"SANTIAGO",1515606,2334,0,27996,4707,17750,66,2,4400000,"NO","FUGA"
68,"M",14787,44,"UNV","CAS",55,90,"SANTIAGO",0,650804,0,0,0,0,0,1,2100000,"NO","FUGA"
69,"M",748468,40,"UNV","CAS",55,90,"SANTIAGO",0,1293,154112,157560,120,0,618,2,1300000,"SI","FUGA"
70,"F",6190393,37,"TEC","SOL",20,326,"PUNTA ARENAS",0,399081,0,0,85,2324,0,1,1700000,"NO","NO FUGA"
71,"M",94563,47,"TEC","CAS",138,1,"ARICA",0,46133,0,0,0,0,14864,1,2200000,"SI","FUGA"
72,"F",276824,57,"UNV","CAS",90,89,"SANTIAGO",0,396782,0,0,224,0,1,1,3200000,"NO","NO FUGA"
73,"M",566334,45,"UNV","CAS",31,119,"SANTIAGO",0,206772,0,0,433,0,0,1,1700000,"NO","FUGA"
74,"M",279245,44,"MED","CAS",84,105,"SANTIAGO",0,6476,0,78523,328,481,279,2,3200000,"NO","FUGA"
75,"M",288328,44,"UNV","CAS",29,89,"SANTIAGO",240688,291357,0,0,865,4693,0,2,900000,"NO","NO FUGA"
76,"M",113021,44,"TEC","SOL",104,93,"SANTIAGO",0,0,0,61195,0,627,0,0,2400000,"NO","NO FUGA"
77,"M",5363140,44,"UNV","CAS",55,90,"SANTIAGO",221828,17596,0,4673,784,0,0,2,900000,"NO","FUGA"
78,"M",229710,28,"TEC","SOL",18,83,"SANTIAGO",0,274243,0,10664,156,0,1,1,1800000,"NO","FUGA"
79,"M",473025,42,"UNV","CAS",19,115,"SANTIAGO",0,115101,0,0,6,0,67,1,8000000,"NO","NO FUGA"
80,"M",491374,60,"MED","CAS",149,108,"SANTIAGO",0,108472,0,87170,0,0,75,0,3700000,"NO","NO FUGA"
81,"M",2251807,30,"MED","SOL",101,88,"SANTIAGO",0,873822,0,314751,1159,0,67,1,8000000,"NO","NO FUGA"
82,"F",1851839,37,"TEC","SOL",73,86,"SANTIAGO",0,424439,0,0,0,24243,0,0,3900000,"NO","NO FUGA"
83,"F",42526,29,"TEC","SOL",37,88,"SANTIAGO",0,332017,0,19540,188,0,19,1,1900000,"SI","NO FUGA"
84,"M",290261,28,"MED","SOL",15,513,"CON-CON",0,587190,0,0,5,14251,56,1,1900000,"NO","NO FUGA"
85,"M",1690612,32,"TEC","SOL",90,80,"SANTIAGO",0,420275,0,108064,0,0,59423,0,8000000,"NO","NO FUGA"
86,"M",2717617,44,"MED","CAS",55,90,"SANTIAGO",451869,78570,0,0,1012,4690,0,2,550000,"NO","FUGA"
87,"M",1387024,53,"TEC","CAS",84,85,"SANTIAGO",0,0,0,0,719,2640,126,2,8000000,"NO","NO FUGA"
88,"F",646488,47,"TEC","CAS",40,71,"VLLA ALEMANA",0,186218,0,524,112,0,2436,2,8000000,"NO","NO FUGA"
89,"M",701143,43,"UNV","CAS",152,89,"SANTIAGO",0,393843,0,389187,3285,0,936,3,2600000,"NO","FUGA"
90,"F",481863,57,"MED","CAS",34,88,"SANTIAGO",0,70088,0,22567,108,0,7,1,2400000,"NO","NO FUGA"
91,"F",72123,36,"TEC","SOL",116,131,"RANCAGUA",1381010,14626,0,0,2119,6621,380,1,1100000,"SI","NO FUGA"
92,"M",4995,41,"MED","CAS",55,90,"SANTIAGO",0,227829,0,554883,0,0,5408,1,7200000,"SI","FUGA"
93,"F",71843,46,"UNV","CAS",138,1,"ARICA",0,597029,0,0,330,383,0,1,6100000,"SI","FUGA"
94,"F",517060,55,"UNV","SOL",24,80,"SANTIAGO",0,59487,0,157138,130,0,0,1,2200000,"NO","FUGA"
95,"F",880921,27,"TEC","CAS",100,88,"SANTIAGO",0,100945,0,0,3,0,0,1,4800000,"NO","NO FUGA"
96,"M",476431,45,"MED","CAS",76,96,"SANTIAGO",0,30045,0,0,110,0,0,1,1900000,"SI","FUGA"
97,"M",37759,46,"UNV","CAS",55,90,"SANTIAGO",0,0,0,0,15,0,0,1,1800000,"NO","FUGA"
98,"M",2280308,52,"UNV","SOL",25,88,"SANTIAGO",1217342,0,0,123,1651,38089,2144,2,8000000,"NO","FUGA"
99,"F",34909,39,"TEC","SOL",52,103,"SANTIAGO",0,175947,0,0,157,0,0,1,1400000,"SI","NO FUGA"
100,"M",510623,55,"TEC","CAS",120,113,"SANTIAGO",0,909407,0,0,286,32515,7534,1,3300000,"NO","FUGA"
101,"F",27172,62,"MED","SOL",61,284,"OSORNO",289733,0,0,0,880,0,0,1,700000,"SI","NO FUGA"
102,"M",68573,45,"UNV","CAS",55,90,"SANTIAGO",0,483918,0,410,437,0,1066,2,3100000,"NO","FUGA"
103,"M",1136608,42,"UNV","CAS",55,90,"SANTIAGO",0,3016,0,790285,490,0,7,2,8000000,"NO","FUGA"
104,"F",487599,30,"UNV","CAS",74,91,"SANTIAGO",0,1709,0,0,35,0,0,1,2500000,"NO","NO FUGA"
105,"F",54942,47,"TEC","SOL",10,5,"IQUIQUE",0,1561351,1808842,0,208,0,1674,1,8000000,"SI","NO FUGA"
106,"M",382787,46,"MED","CAS",31,118,"SANTIAGO",0,260599,0,788433,681,0,828,1,3300000,"SI","FUGA"
107,"M",313480,33,"TEC","SOL",83,88,"SANTIAGO",0,0,0,0,49,0,287,1,900000,"NO","NO FUGA"
108,"M",490012,52,"UNV","SOL",27,226,"CONCEPCION",0,168370,0,576412,1592,0,506,2,800000,"NO","FUGA"
109,"F",477794,46,"UNV","SOL",138,1,"ARICA",0,525197,0,147712,0,0,14169,1,3900000,"NO","FUGA"
110,"M",720043,53,"MED","CAS",27,226,"CONCEPCION",0,46525,0,1095071,9,0,33,1,7300000,"NO","NO FUGA"
111,"M",35063,31,"TEC","CAS",40,67,"VINA DEL MAR",0,292180,0,314105,0,0,217,0,3500000,"NO","NO FUGA"
112,"F",58762,52,"MED","CAS",39,84,"SANTIAGO",265674,4127,0,153789,862,0,103,2,900000,"NO","NO FUGA"
113,"M",330251,40,"UNV","CAS",138,1,"ARICA",0,143,0,194637,783,0,6,2,2600000,"NO","FUGA"
114,"F",131346,49,"UNV","CAS",83,85,"SANTIAGO",0,238550,0,110592,109,26870,1,1,4500000,"NO","FUGA"
115,"M",8362439,44,"UNV","CAS",55,90,"SANTIAGO",0,76703,0,758807,87,0,797,2,3200000,"NO","FUGA"
116,"F",630734,45,"MED","SOL",54,89,"SANTIAGO",0,122273,0,0,649,2743,0,2,4800000,"NO","NO FUGA"
117,"F",13130,53,"TEC","SOL",85,88,"SANTIAGO",0,1610674,0,0,7,0,0,1,8000000,"SI","NO FUGA"
118,"M",24934,54,"UNV","CAS",39,80,"SANTIAGO",598071,368936,0,371950,782,0,102,1,1600000,"SI","FUGA"
119,"M",34004,40,"TEC","CAS",98,127,"TALAGANTE",96820,85884,0,293281,122,0,231,1,2300000,"SI","NO FUGA"
120,"M",425823,41,"MED","CAS",126,110,"SANTIAGO",0,316223,0,0,0,0,4,1,2000000,"SI","FUGA"
121,"M",2981,50,"MED","VIU",55,90,"SANTIAGO",0,62674,0,129984,252,0,109,1,4400000,"NO","FUGA"
122,"M",2839338,44,"UNV","CAS",32,91,"SANTIAGO",0,1352808,0,820004,0,0,1284,1,5400000,"NO","FUGA"
123,"M",413261,39,"UNV","CAS",57,93,"SANTIAGO",0,241964,0,278256,144,0,83,1,1500000,"NO","NO FUGA"
124,"M",365138,41,"UNV","CAS",122,95,"SANTIAGO",0,818468,0,0,15,0,0,2,3900000,"NO","NO FUGA"
125,"M",883985,40,"TEC","CAS",34,29,"LA SERENA",818974,609309,0,337529,780,4768,0,2,700000,"NO","NO FUGA"
126,"M",173451,30,"TEC","SOL",122,98,"SANTIAGO",0,48433,0,20227,93,1433,53,1,1400000,"NO","NO FUGA"
127,"F",20084,50,"MED","SOL",69,53,"SAN FELIPE",0,1291644,0,5167,48,35908,0,1,8000000,"SI","NO FUGA"
128,"M",144015,39,"MED","CAS",56,138,"RENGO",0,0,0,98127,87,0,199,1,5100000,"NO","NO FUGA"
129,"F",558058,45,"MED","CAS",108,100,"SANTIAGO",80396,21565,0,0,1423,0,0,1,700000,"NO","NO FUGA"
130,"M",779386,48,"UNV","SEP",118,89,"SANTIAGO",0,306725,0,56354,74,107,38,2,3600000,"NO","FUGA"
131,"F",863012,30,"MED","SOL",63,300,"CASTRO",0,424868,0,0,118,0,0,1,5500000,"NO","NO FUGA"
132,"F",486003,34,"TEC","SOL",67,193,"CHILLAN",71267,153871,0,448195,2293,0,21200,1,600000,"NO","NO FUGA"
133,"M",251542,52,"MED","CAS",138,1,"ARICA",0,0,0,0,425,0,0,1,2200000,"NO","FUGA"
134,"M",5769103,44,"UNV","CAS",55,90,"SANTIAGO",0,364746,0,0,0,0,2842,1,3400000,"NO","FUGA"
135,"F",27483,56,"MED","SOL",21,502,"CHUQUICAMATA",195170,841316,0,0,64,42060,0,1,7900000,"SI","NO FUGA"
136,"F",124040,50,"TEC","CAS",138,1,"ARICA",0,387846,0,0,8,0,0,1,2800000,"SI","FUGA"
137,"F",87854,34,"TEC","CAS",50,88,"SANTIAGO",0,344787,0,0,132,0,0,1,4200000,"NO","NO FUGA"
138,"M",136704,40,"UNV","CAS",31,119,"SANTIAGO",0,143607,0,104936,744,0,12,2,1700000,"NO","FUGA"
139,"M",1663762,47,"UNV","CAS",138,1,"ARICA",0,191595,0,125765,0,0,1,1,8000000,"NO","FUGA"
140,"M",1300789,52,"TEC","SOL",14,16,"ANTOFAGASTA",0,650514,0,0,0,7389,0,1,8000000,"NO","NO FUGA"
141,"M",488478,45,"UNV","CAS",129,106,"SANTIAGO",0,205687,0,0,2,0,0,1,2200000,"NO","FUGA"
142,"M",697230,33,"UNV","CAS",48,89,"SANTIAGO",0,19995,0,0,1,0,0,1,2200000,"NO","NO FUGA"
143,"M",519811,37,"UNV","CAS",84,90,"SANTIAGO",0,443945,0,0,77,0,0,1,4500000,"NO","NO FUGA"
144,"M",3586,45,"MED","CAS",55,90,"SANTIAGO",0,72834,0,0,9,1391,0,1,6000000,"NO","FUGA"
145,"M",624021,47,"UNV","CAS",61,90,"SANTIAGO",964309,0,0,566320,993,0,423,2,2400000,"NO","FUGA"
146,"F",636035,34,"TEC","CAS",16,91,"SANTIAGO",0,522864,0,0,0,25003,0,0,3500000,"NO","NO FUGA"
147,"M",109980,35,"UNV","CAS",129,105,"SANTIAGO",0,4125,0,42363,96,620,382,1,1600000,"NO","NO FUGA"
148,"F",486653,53,"MED","CAS",10,5,"IQUIQUE",0,0,92149,0,846,0,14122,3,8000000,"NO","NO FUGA"
149,"M",686641,40,"TEC","CAS",104,105,"SANTIAGO",241245,2350,0,94880,771,7504,651,2,1400000,"NO","FUGA"
150,"F",296519,50,"MED","CAS",45,80,"SANTIAGO",0,0,0,0,1442,0,13,1,1900000,"NO","NO FUGA"
151,"M",1747096,64,"UNV","CAS",78,184,"COLBUN",0,251206,0,94750,4450,0,1,2,8000000,"NO","NO FUGA"
152,"F",1291628,51,"TEC","SEP",138,93,"SANTIAGO",0,19549,0,0,497,48173,336,3,8000000,"NO","FUGA"
153,"M",363666,55,"TEC","CAS",27,226,"CONCEPCION",0,103739,0,0,5,0,0,1,4600000,"NO","FUGA"
154,"F",444782,26,"TEC","SOL",90,110,"SANTIAGO",0,1702,0,0,9,0,0,1,1800000,"SI","NO FUGA"
155,"F",2122,47,"TEC","SOL",37,80,"SANTIAGO",0,11217,170891,15261,1948,0,1259,1,650000,"SI","NO FUGA"
156,"F",126114,27,"TEC","SOL",45,128,"PENAFLOR",0,14037,0,114675,0,0,108,0,1700000,"NO","NO FUGA"
157,"F",875750,33,"UNV","CAS",27,226,"CONCEPCION",0,373883,0,23713,65,0,0,1,4700000,"NO","FUGA"
158,"F",764461,53,"UNV","CAS",45,88,"SANTIAGO",0,587987,0,319411,0,0,43,1,5000000,"NO","FUGA"
159,"M",560529,48,"UNV","CAS",74,272,"VALDIVIA",0,46764,0,297061,45,0,644,1,2600000,"NO","NO FUGA"
160,"M",42036,55,"UNV","CAS",55,90,"SANTIAGO",598189,388656,0,32710,1076,7644,83,1,5800000,"NO","FUGA"
161,"M",1385344,35,"UNV","CAS",66,253,"TEMUCO",2298850,236967,80800,0,1585,0,80,1,5100000,"NO","NO FUGA"
162,"M",352410,30,"MED","CAS",27,226,"CONCEPCION",0,68133,0,246995,167,0,75,2,1700000,"NO","FUGA"
163,"F",506780,41,"MED","CAS",51,88,"SANTIAGO",0,0,0,0,0,0,10,0,2100000,"NO","NO FUGA"
164,"F",3708456,28,"BAS","SOL",68,226,"CONCEPCION",0,0,0,0,1,1433,973,1,2000000,"NO","NO FUGA"
165,"M",553960,37,"MED","CAS",84,90,"SANTIAGO",0,1988,0,0,153,0,0,1,4500000,"NO","NO FUGA"
166,"F",26420,50,"MED","SOL",139,85,"SANTIAGO",0,2314605,0,0,0,37215,0,0,8000000,"SI","NO FUGA"
167,"M",2805283,42,"MED","CAS",83,92,"SANTIAGO",839832,74253,0,1310686,975,952,27240,1,8000000,"NO","NO FUGA"
168,"M",734582,40,"UNV","SOL",138,1,"ARICA",0,344321,0,0,496,0,444,1,3100000,"NO","FUGA"
169,"F",104793,48,"MED","CAS",24,87,"SANTIAGO",0,0,0,341008,0,0,390,0,2700000,"NO","NO FUGA"
170,"F",68405,32,"TEC","CAS",31,119,"SANTIAGO",21944,460806,0,0,491,6751,0,1,1900000,"NO","NO FUGA"
171,"M",449696,53,"UNV","SOL",27,226,"CONCEPCION",0,41400,0,95303,171,0,372,1,3500000,"NO","FUGA"
172,"M",166128,42,"MED","CAS",138,1,"ARICA",0,0,0,0,0,0,2795,1,2800000,"NO","FUGA"
173,"F",1546277,31,"TEC","VIU",67,226,"CONCEPCION",0,325570,0,0,333,0,53,1,2300000,"NO","NO FUGA"
174,"M",4796337,43,"UNV","CAS",53,80,"SANTIAGO",0,1256,0,273605,409,0,23,3,1300000,"NO","FUGA"
175,"M",511493,47,"UNV","CAS",122,97,"SANTIAGO",0,305575,0,137626,250,2436,423,2,1800000,"NO","FUGA"
176,"F",1159911,35,"TEC","SEP",102,91,"SANTIAGO",0,330643,0,0,31,0,0,1,2000000,"NO","NO FUGA"
177,"M",237667,51,"MED","CAS",124,253,"TEMUCO",0,1126494,0,117,2082,3542,0,2,800000,"NO","NO FUGA"
178,"M",277757,49,"UNV","CAS",25,88,"SANTIAGO",0,0,0,0,98,0,0,1,2300000,"NO","NO FUGA"
179,"M",646399,50,"MED","CAS",138,1,"ARICA",0,273138,0,0,2786,0,118,3,2600000,"NO","FUGA"
180,"F",5645,44,"UNV","SOL",29,90,"SANTIAGO",0,45993,0,82676,352,0,157,2,3400000,"NO","FUGA"
181,"M",242897,31,"MED","CAS",27,226,"CONCEPCION",0,178708,0,147790,118,0,1111,1,2300000,"NO","FUGA"
182,"M",1227273,38,"MED","CAS",59,88,"SANTIAGO",0,0,0,0,6,0,0,1,7500000,"NO","NO FUGA"
183,"M",1681477,46,"TEC","CAS",41,103,"SANTIAGO",906387,345609,0,589680,11187,0,405,1,3700000,"NO","NO FUGA"
184,"M",698435,55,"UNV","SOL",138,1,"ARICA",807625,37361,0,380806,1828,0,395,1,4500000,"SI","FUGA"
185,"M",842371,35,"MED","CAS",72,504,"EL SALVADOR",0,23200,0,0,111,1400,457,1,8000000,"NO","NO FUGA"
186,"F",230970,42,"TEC","SOL",13,16,"ANTOFAGASTA",0,0,0,0,236,5698,386,1,1600000,"NO","NO FUGA"
187,"M",305258,24,"UNV","CAS",90,128,"PENAFLOR",0,21321,0,15557,188,0,10,1,1600000,"NO","NO FUGA"
188,"F",1480598,36,"TEC","VIU",39,88,"SANTIAGO",0,0,0,0,197,0,0,1,8000000,"NO","NO FUGA"
189,"F",178946,25,"UNV","CAS",16,93,"SANTIAGO",0,247290,0,0,46,0,0,1,2600000,"SI","FUGA"
190,"M",728288,46,"UNV","SEP",118,93,"SANTIAGO",295430,435461,0,0,2124,391,0,3,6300000,"NO","FUGA"
191,"F",2441832,37,"TEC","VIU",64,314,"COYHAIQUE",30169,93461,0,268987,1221,1523,108,3,650000,"SI","NO FUGA"
192,"M",158529,52,"UNV","CAS",52,80,"SANTIAGO",0,126951,0,6603,1196,0,0,2,1000000,"NO","FUGA"
193,"F",412466,49,"MED","CAS",80,81,"SANTIAGO",0,18270,0,101926,175,0,0,1,1900000,"NO","FUGA"
194,"F",6705581,38,"TEC","SOL",74,272,"VALDIVIA",1634772,15162,0,0,1609,7779,0,1,8000000,"NO","NO FUGA"
195,"M",346446,48,"UNV","CAS",108,115,"SANTIAGO",0,137159,0,0,423,0,0,3,1300000,"NO","FUGA"
196,"F",503224,45,"UNV","CAS",31,119,"SANTIAGO",0,1008654,0,0,249,0,10107,2,6500000,"NO","FUGA"
197,"M",48394,42,"UNV","CAS",55,90,"SANTIAGO",351789,165072,0,4373339,276,135,664,2,4500000,"NO","FUGA"
198,"M",174103,47,"UNV","CAS",138,1,"ARICA",0,5495534,0,928904,627,42041,3504,2,6800000,"NO","FUGA"
199,"M",560802,40,"UNV","CAS",138,1,"ARICA",0,258590,0,0,87,0,0,1,2000000,"NO","FUGA"
200,"M",762229,36,"MED","CAS",30,98,"SANTIAGO",0,840568,0,265619,0,0,9957,0,5200000,"NO","NO FUGA"
201,"M",337668,46,"UNV","CAS",138,1,"ARICA",712582,344138,0,86736,1592,3653,1299,2,6000000,"NO","FUGA"
202,"M",33931,42,"UNV","CAS",130,111,"SANTIAGO",0,9579,0,13631,161,0,240,1,2200000,"NO","FUGA"
203,"F",57478,45,"UNV","CAS",31,119,"SANTIAGO",0,258344,0,0,3,0,527,2,1400000,"NO","FUGA"
204,"M",39703,41,"UNV","CAS",55,90,"SANTIAGO",27167,90141,0,62792,286,0,507,1,6100000,"NO","FUGA"
205,"F",107808,52,"UNV","CAS",37,80,"SANTIAGO",0,220775,0,27448,0,0,11,1,1500000,"NO","FUGA"
206,"F",6326894,35,"TEC","VIU",88,67,"VINA DEL MAR",0,0,0,0,7,0,0,1,5900000,"NO","NO FUGA"
207,"M",60194,52,"UNV","CAS",55,90,"SANTIAGO",582932,59385,466865,0,1526,0,1281,1,1600000,"NO","FUGA"
208,"M",966367,54,"TEC","CAS",27,226,"CONCEPCION",0,187082,0,0,0,0,2,1,8000000,"NO","FUGA"
209,"M",170179,37,"UNV","CAS",90,84,"SANTIAGO",0,285650,0,0,18,0,0,1,1600000,"NO","NO FUGA"
210,"M",1035383,50,"UNV","SOL",138,1,"ARICA",2172015,8187,0,1026835,2974,0,591,3,1000000,"NO","FUGA"
211,"F",4453,43,"TEC","SOL",90,89,"SANTIAGO",0,195766,0,116,162,0,22933,1,5100000,"SI","NO FUGA"
